date,open,high,low,close
2020-01-09 09:15:00+05:30,12153.15,12175.8,12141.7,12161.2
2020-01-09 09:30:00+05:30,12161.2,12161.55,12144.2,12156.45
2020-01-09 09:45:00+05:30,12156.25,12160.7,12136.5,12142.9
2020-01-09 10:00:00+05:30,12142.95,12157.0,12141.6,12156.35
2020-01-09 10:15:00+05:30,12157.2,12172.25,12157.1,12170.75
2020-01-09 10:30:00+05:30,12170.95,12186.45,12168.15,12183.2
2020-01-09 10:45:00+05:30,12183.35,12187.15,12176.65,12181.6
2020-01-09 11:00:00+05:30,12182.05,12185.5,12174.3,12177.8
2020-01-09 11:15:00+05:30,12177.4,12181.05,12170.95,12173.3
2020-01-09 11:30:00+05:30,12173.15,12188.35,12172.3,12186.0
2020-01-09 11:45:00+05:30,12185.85,12187.75,12177.95,12187.0
2020-01-09 12:00:00+05:30,12187.2,12192.5,12184.55,12189.9
2020-01-09 12:15:00+05:30,12189.95,12194.5,12181.05,12187.05
2020-01-09 12:30:00+05:30,12186.9,12195.6,12185.75,12191.7
2020-01-09 12:45:00+05:30,12190.75,12196.1,12188.3,12194.05
2020-01-09 13:00:00+05:30,12194.05,12208.25,12193.8,12207.1
2020-01-09 13:15:00+05:30,12206.55,12217.8,12206.5,12210.5
2020-01-09 13:30:00+05:30,12210.25,12213.7,12194.15,12194.15
2020-01-09 13:45:00+05:30,12193.85,12198.3,12185.75,12188.05
2020-01-09 14:00:00+05:30,12187.75,12199.4,12186.45,12195.05
2020-01-09 14:15:00+05:30,12195.1,12205.65,12189.8,12199.25
2020-01-09 14:30:00+05:30,12199.4,12210.3,12192.4,12195.2
2020-01-09 14:45:00+05:30,12194.8,12207.55,12194.75,12205.75
2020-01-09 15:00:00+05:30,12207.35,12224.0,12206.55,12217.8
2020-01-09 15:15:00+05:30,12218.55,12219.7,12211.6,12214.45
2020-01-10 09:15:00+05:30,12271.0,12271.0,12241.8,12247.95
2020-01-10 09:30:00+05:30,12247.9,12247.9,12231.05,12238.25
2020-01-10 09:45:00+05:30,12238.6,12266.9,12238.5,12262.2
2020-01-10 10:00:00+05:30,12261.45,12270.75,12255.65,12266.65
2020-01-10 10:15:00+05:30,12267.15,12281.75,12264.5,12279.0
2020-01-10 10:30:00+05:30,12279.2,12285.15,12273.5,12278.8
2020-01-10 10:45:00+05:30,12279.3,12282.05,12272.1,12277.7
2020-01-10 11:00:00+05:30,12278.1,12287.15,12275.4,12286.15
2020-01-10 11:15:00+05:30,12285.1,12294.55,12285.1,12292.6
2020-01-10 11:30:00+05:30,12292.5,12303.65,12290.1,12302.9
2020-01-10 11:45:00+05:30,12302.05,12311.05,12295.7,12296.15
2020-01-10 12:00:00+05:30,12295.85,12306.65,12294.45,12300.1
2020-01-10 12:15:00+05:30,12299.85,12304.35,12293.7,12301.75
2020-01-10 12:30:00+05:30,12301.5,12309.25,12300.95,12308.85
2020-01-10 12:45:00+05:30,12308.65,12309.3,12290.3,12290.65
2020-01-10 13:00:00+05:30,12290.05,12291.55,12278.5,12287.7
2020-01-10 13:15:00+05:30,12287.35,12292.5,12281.15,12283.5
2020-01-10 13:30:00+05:30,12282.85,12283.5,12256.45,12259.5
2020-01-10 13:45:00+05:30,12259.25,12269.55,12250.55,12260.15
2020-01-10 14:00:00+05:30,12260.0,12261.6,12230.4,12237.65
2020-01-10 14:15:00+05:30,12237.55,12251.7,12216.75,12231.9
2020-01-10 14:30:00+05:30,12230.9,12243.75,12230.45,12242.4
2020-01-10 14:45:00+05:30,12242.7,12243.55,12213.6,12234.6
2020-01-10 15:00:00+05:30,12234.4,12264.85,12234.4,12258.85
2020-01-10 15:15:00+05:30,12258.9,12259.45,12252.5,12256.5
2020-01-13 09:15:00+05:30,12296.7,12337.4,12287.0,12325.0
2020-01-13 09:30:00+05:30,12325.65,12330.95,12316.8,12324.3
2020-01-13 09:45:00+05:30,12325.0,12328.0,12305.0,12318.15
2020-01-13 10:00:00+05:30,12318.05,12319.15,12308.0,12317.9
2020-01-13 10:15:00+05:30,12317.95,12327.1,12317.95,12326.95
2020-01-13 10:30:00+05:30,12327.1,12334.95,12325.1,12326.2
2020-01-13 10:45:00+05:30,12325.35,12326.5,12316.6,12320.7
2020-01-13 11:00:00+05:30,12320.55,12332.3,12318.95,12330.65
2020-01-13 11:15:00+05:30,12330.4,12335.75,12329.25,12329.85
2020-01-13 11:30:00+05:30,12329.95,12330.0,12321.85,12328.1
2020-01-13 11:45:00+05:30,12328.1,12332.0,12325.05,12328.8
2020-01-13 12:00:00+05:30,12328.75,12329.55,12318.2,12328.15
2020-01-13 12:15:00+05:30,12327.7,12331.8,12325.55,12326.7
2020-01-13 12:30:00+05:30,12326.5,12331.15,12324.85,12330.65
2020-01-13 12:45:00+05:30,12330.85,12334.9,12329.45,12334.2
2020-01-13 13:00:00+05:30,12333.85,12335.55,12308.4,12310.5
2020-01-13 13:15:00+05:30,12310.5,12321.2,12306.35,12313.65
2020-01-13 13:30:00+05:30,12313.8,12321.05,12305.55,12311.0
2020-01-13 13:45:00+05:30,12310.9,12317.7,12309.5,12315.45
2020-01-13 14:00:00+05:30,12315.25,12318.6,12296.0,12300.9
2020-01-13 14:15:00+05:30,12300.9,12320.1,12296.95,12313.15
2020-01-13 14:30:00+05:30,12312.9,12325.05,12312.85,12320.15
2020-01-13 14:45:00+05:30,12320.35,12322.75,12314.5,12317.55
2020-01-13 15:00:00+05:30,12317.7,12336.15,12317.55,12330.7
2020-01-13 15:15:00+05:30,12331.0,12336.1,12326.25,12329.6
2020-01-14 09:15:00+05:30,12333.1,12333.1,12309.35,12326.35
2020-01-14 09:30:00+05:30,12326.1,12348.6,12319.1,12330.6
2020-01-14 09:45:00+05:30,12331.0,12337.25,12326.4,12328.3
2020-01-14 10:00:00+05:30,12328.45,12339.1,12328.25,12336.75
2020-01-14 10:15:00+05:30,12336.6,12346.3,12334.6,12334.6
2020-01-14 10:30:00+05:30,12334.25,12334.65,12322.7,12326.75
2020-01-14 10:45:00+05:30,12326.95,12336.3,12319.4,12333.7
2020-01-14 11:00:00+05:30,12333.65,12339.8,12331.65,12333.85
2020-01-14 11:15:00+05:30,12334.25,12336.0,12326.3,12327.7
2020-01-14 11:30:00+05:30,12327.75,12335.8,12326.0,12335.7
2020-01-14 11:45:00+05:30,12335.85,12340.4,12332.65,12337.9
2020-01-14 12:00:00+05:30,12337.9,12346.6,12336.1,12345.4
2020-01-14 12:15:00+05:30,12345.7,12348.75,12338.8,12340.35
2020-01-14 12:30:00+05:30,12340.25,12346.0,12336.55,12336.65
2020-01-14 12:45:00+05:30,12336.95,12340.6,12332.6,12333.0
2020-01-14 13:00:00+05:30,12332.65,12342.5,12331.7,12338.2
2020-01-14 13:15:00+05:30,12338.2,12339.75,12331.35,12331.7
2020-01-14 13:30:00+05:30,12331.5,12336.85,12324.9,12334.95
2020-01-14 13:45:00+05:30,12335.55,12338.95,12323.0,12324.45
2020-01-14 14:00:00+05:30,12324.05,12331.3,12322.4,12327.85
2020-01-14 14:15:00+05:30,12328.45,12343.5,12325.35,12343.25
2020-01-14 14:30:00+05:30,12343.45,12358.1,12336.45,12357.05
2020-01-14 14:45:00+05:30,12356.65,12367.65,12354.5,12365.85
2020-01-14 15:00:00+05:30,12365.9,12373.65,12359.95,12361.55
2020-01-14 15:15:00+05:30,12361.55,12364.5,12356.2,12360.05
2020-01-15 09:15:00+05:30,12349.4,12349.7,12305.0,12309.5
2020-01-15 09:30:00+05:30,12308.35,12315.5,12298.7,12305.3
2020-01-15 09:45:00+05:30,12305.5,12305.6,12293.25,12300.9
2020-01-15 10:00:00+05:30,12300.95,12310.45,12290.4,12292.65
2020-01-15 10:15:00+05:30,12292.8,12304.85,12291.9,12304.65
2020-01-15 10:30:00+05:30,12304.85,12307.75,12294.75,12298.0
2020-01-15 10:45:00+05:30,12298.1,12301.65,12291.35,12295.55
2020-01-15 11:00:00+05:30,12295.55,12307.45,12294.9,12303.9
2020-01-15 11:15:00+05:30,12303.65,12310.7,12297.3,12301.35
2020-01-15 11:30:00+05:30,12301.4,12305.55,12297.8,12303.8
