date,open,high,low,close
2020-04-20 09:15:00+05:30,9390.2,9390.2,9270.7,9291.95
2020-04-20 09:20:00+05:30,9293.9,9322.3,9266.95,9319.2
2020-04-20 09:25:00+05:30,9319.45,9352.9,9313.55,9331.8
2020-04-20 09:30:00+05:30,9330.05,9339.95,9289.45,9296.75
2020-04-20 09:35:00+05:30,9296.0,9296.0,9245.25,9247.75
2020-04-20 09:40:00+05:30,9246.3,9283.35,9243.65,9264.5
2020-04-20 09:45:00+05:30,9255.6,9280.0,9250.5,9280.0
2020-04-20 09:50:00+05:30,9279.4,9302.5,9274.5,9278.45
2020-04-20 09:55:00+05:30,9277.0,9277.55,9256.95,9264.55
2020-04-20 10:00:00+05:30,9263.5,9295.55,9261.7,9292.1
2020-04-20 10:05:00+05:30,9291.7,9300.45,9276.15,9297.1
2020-04-20 10:10:00+05:30,9298.9,9299.65,9271.85,9285.9
2020-04-20 10:15:00+05:30,9287.15,9292.5,9270.85,9279.2
2020-04-20 10:20:00+05:30,9278.85,9293.85,9278.3,9291.1
2020-04-20 10:25:00+05:30,9291.1,9316.35,9290.85,9316.35
2020-04-20 10:30:00+05:30,9316.25,9328.25,9305.45,9317.0
2020-04-20 10:35:00+05:30,9317.7,9319.3,9302.3,9302.3
2020-04-20 10:40:00+05:30,9303.25,9323.25,9298.7,9310.7
2020-04-20 10:45:00+05:30,9309.8,9315.9,9299.85,9314.6
2020-04-20 10:50:00+05:30,9315.2,9318.5,9310.6,9315.6
2020-04-20 10:55:00+05:30,9315.45,9329.65,9315.3,9322.4
2020-04-20 11:00:00+05:30,9322.1,9336.45,9322.1,9332.55
2020-04-20 11:05:00+05:30,9333.1,9336.4,9310.9,9311.7
2020-04-20 11:10:00+05:30,9310.75,9325.7,9306.65,9310.2
2020-04-20 11:15:00+05:30,9309.7,9309.85,9276.35,9287.15
2020-04-20 11:20:00+05:30,9287.5,9303.55,9269.5,9269.65
2020-04-20 11:25:00+05:30,9269.85,9289.55,9266.55,9279.15
2020-04-20 11:30:00+05:30,9278.95,9279.25,9245.6,9248.25
2020-04-20 11:35:00+05:30,9247.45,9252.7,9231.05,9251.2
2020-04-20 11:40:00+05:30,9251.55,9265.55,9244.95,9247.15
2020-04-20 11:45:00+05:30,9247.35,9264.95,9240.8,9259.75
2020-04-20 11:50:00+05:30,9260.55,9276.65,9255.25,9276.3
2020-04-20 11:55:00+05:30,9277.1,9277.1,9259.1,9266.05
2020-04-20 12:00:00+05:30,9266.05,9270.75,9251.7,9256.1
2020-04-20 12:05:00+05:30,9256.3,9284.55,9255.1,9273.55
